CardTitle,CardSummary,CardTemplate,Category
College Failed Me,Thread hook for the frameworks that helped you learn a skill college failed to teach you.,"College completely failed in teaching me how to [Skill].

So I spent over 500 hours studying legendary [SkillTeachers].

Then, I distilled what I learned into [X] simple frameworks.

But unlike college, these won't cost you [$X].

Here they are for free:",Educational Breakdown
Highest Paid Person Ever,Thread hook for strategies used by the highest paid person in a specific field.,"The highest-paid [SkillPerson] in history: [Name]

[His/Her] legendary [Asset] have generated over [$X] in revenue.

Luckily, in a rare interview in [Year], [He/She] revealed their [X] time-tested strategies for [Outcome].

Here's a breakdown of each one:",Social Proof / Spotlight
Iconic Quote (Thread of Threads),A hook for a thread of the best threads about a topic.,"[FamousPerson] once said:

“[FamousQuote]”

Luckily, this is a skill anyone can learn.

Unfortunately, most people have never tried—because no one showed them where to start.

So here are [X] of the best [Topic] threads on Twitter (so you can start learning today):",Social Proof / Spotlight
If You Use It Right,Thread hook for uncommonly known features about a specific platform.,"If you use it right, [PlatformName] is the most powerful platform in the world.

But [PlatformName] does a horrible job [Problem].

Here are [X] [Features] you probably don’t know exist:",Advice & Life Lessons
Successful Company Laws of Success,Thread hook: rules for success used by a successful company.,"The most [Description] company of the last [X] years:

[Company]

Back in [Date], [Company] shared their manifesto for [Topic].

And the rules are a must-read for [Audience1], [Audience2], and anyone who wants to [Outcome].

Here’s the breakdown:",Advice & Life Lessons
The Godfather,Thread hook that introduces the Godfather of an industry.,"The Godfather of [Industry]: [Name]

In [Year], [he/she] published [BookName], a book so good the original [RecordOutcome].

And inside, [he/she] shared the [Topic] routine that helped [him/her] [Outcome1] and [Outcome2].

Here's the breakdown:",Social Proof / Spotlight
The King of X Platform,Thread hook for how the King (or Queen) of X platform has grown so quickly.,"The KING of [Platform]:

[Name]

Over the last 12 months, [He/She] has gained over [X] subscribers.

So I binge watched [X] hours of [His/Her] videos to study how [He/She/They] have grown so quickly.

And here's [His/Her] [X]-part framework for rapid growth (that you can use on any platform):",Social Proof / Spotlight
The Most Valuable Feature,Thread hook for a guide on how to use a valuable feature from a platform.,"The most valuable [Platform] feature you aren’t using:

[Feature]

Knowing how to use it will help you [Outcome1] and [Outcome2].

Here’s a step-by-step guide on how to use it:",Educational Breakdown
World's Most Valuable Skill,Thread hook: share the world's most valuable skill and the frameworks that will help your audience learn it.,"The world’s most valuable skill:

[Skill]

But colleges charge you [$X] and still do a terrible job teaching it.

Instead, here are [X] [Skill] frameworks that you cost you nothing and will save you hundreds of hours:",Insight & Prediction
Expertise Secrets,Leverage your unique knowledge to have an impact on your industry.,"{Topic} 101

Over the past {X} years, I have {ShortCredibilityStatement}.

Want to know a secret?

I use the same {X}{Technique} every",Educational Breakdown
The Book Curation Thread,Create a compilation of books that you think are worth the read.,"Over the past X amount of time, I have read X number of [specific genre].

99% of them weren't worth it.

Save yourself the time and just read/listen/follow these X 🧵👇

Book",Curation
Credibility & Lessons,Share your secrets to achieving an outcome along with actionable advice for the reader.,"Over the past X years, I have [list 3 accomplishments/accolades of credibility].

What most people don’t know?

I use the same X [approaches, templates, techniques, strategies, etc.] every time.

🧵👇

Template #1: One sentence

What’s the fastest way to achieve X?

Do Y.

Success here 100% comes down to:

• Action step

• Action",Advice & Life Lessons
Curated List,Curate a list of tips and lessons from an expert that will benefit the reader in some way.,"X person is best known for doing Y.

In [year / book / speech / etc.], he/she put together a masterclass on X topic.

These X [ideas / things / tips / lessons / etc.] will change the way you [list 3 benefits to the reader].

Here’s a",Curation
'If I Had To Do It Over Again' Thread,Things you would do differently to achieve a specific outcome faster.,"I started [doing X] when I was [Y years old].

Since then, I've...

• Accomplishment #1

• Accomplishment #2

• Accomplishment #3

• Accomplishment #4

If I had to do it all over again, here are 5 things I'd do differently.

Thing #1: Don't do X.

At the time, I thought [this] was a good idea.

It wasn't.

It led",Personal Story
Personal Story + Advice,Use a personal story to give advice on a specific topic.,"Mastering X unlocks Y.

Unfortunately, we don’t get taught how to do this.

For the past X years, I have been [explain what makes you a credible source of information on this topic].

Here are X pieces of advice that will help you [restate Y + 2-3 more benefits].

🧵👇

Advice #1: One sentence.

When we’re first starting out, we think X",Personal Story
The Framework Thread,Share the step-by-step framework you use to achieve a desirable outcome.,"In [date], I experienced X problem.

Then, I did [something unconventional].

Here's the X-Step framework I use to achieve [highly desirable outcome]

🧵👇

Step 1: (What is it?)

Most people think X.

Instead, I want you to think Y (opposite of X).

If you do this, here are",Educational Breakdown
Transformation Story,Share a story about how you went from being stuck to where you are today.,"Origin story: when I was X, I was stuck, experiencing:

• Pain point #1

• Pain point #2

• Pain point #3

Y years later, I’m here now.

One sentence of what’s different now.

Here’s what this journey taught me about [topic]

🧵👇

Lesson #1: One sentence.

Quick story of",Personal Story
Industry Insights,Shed some light on where you believe the future is headed.,"The {Niche} industry is on fire.

Some stats:

1. {Stat1}

2. {Stat2}

3. {Stat3}

But it’s not until you break each of these stats down that you realize how quickly the {Niche} industry",Insight & Prediction
Life Lessons,Share the timeless wisdom that has made the biggest difference in your life.,{X} rules for a life,Advice & Life Lessons
Best Threads,Thread hook: share some of your threads that have gone viral.,"I started writing threads on Twitter in {Year}.

Since then, I’ve written more than {X} threads and accumulated",Personal Story
Books Instead of College,A thread hook for a list of books to read instead of spending thousands on college tuition.,"The average tuition for an MBA comes to $60,000 per year.

That means you're $120,000 in debt...

...before you begin your [Industry] journey!

Or, you could spend less than $250 and read these 8 legendary books on [Topic1], [Topic2], [Topic3]:",Book-Based
Books Worth Reading,Thread hook for a list of books you think are worth reading.,"Over the past [X] years, I have read over [X] [Topic] books.

99% were 1 idea stretched across 300 pages.

They should have been blog posts.

Save yourself the time and just read these [X]:",Book-Based
Every Single Day,A thread hook sharing 5 activities you look forward to doing every day.,"Every single day, I wake up ecstatic to do 5 things:

1) [Activity1]

2) [Activity2]

3) [Activity3]

4) [Activity4]

5) [Activity5]

Each for different reasons:",Advice & Life Lessons
Framework For Success,Thread hook that introduces the framework you have used to achieve outcomes.,"In [Year], I [Outcome].

In [FollowingYear], I [DoubledOutcome].

Here’s the [X]-step framework I used to [Outcome1] and [Outcome2]—and how I plan on [GiantOutcome3] again next year:",Educational Breakdown
MasterClass Synopsis,Thread hook for a synopsis of a MasterClass you have taken.,"[FamousPerson] is one of the [Credibility] of all time.

[FamousOutcome1]

[FamousOutcome2]

[FamousOutcome3]

I am fascinated by [his/her] career.

So I watched [his/her] MasterClass (twice!).

Here are the golden nuggets:",Social Proof / Spotlight
Morning Habit,A thread hook introducing a habit you do every single morning.,"I [Habit] every single morning for at least [X] minutes.

I've been doing this since [Year].

But over the years, I've learned you can (very easily) overcomplicate the act of [Habit].

Which is why now I only use [X] simple [Techniques]:",Advice & Life Lessons
Proven Tips (Thread of Threads),A thread hook introducing a thread of powerful tips you've shared over time.,"Over the past year, I have tweeted hundreds of small (but powerful) [Topic] Tips.

But these [X] accumulated more than [X] views and thousands of comments & shares.

Here they are all in one place:",Meta / Reflection on Writing
Rules to Live By,Thread hook for rules of success to live by.,"I have been [Topic] for [X] years.

In that time, I have [Outcome] more times than I can count.

These are the [X] rules of success I live by—to create things that have a giant impact:",Advice & Life Lessons
Tips To Hang On Your Wall,A hook for a thread about {Topic} tips you should hang on your wall.,[X] [Topic] tips you should hang on your wall:,Advice & Life Lessons
Topic 101,A hook for a thread where you can share the templates you use every time to achieve success.,"[Topic] 101

Over the past [X] years, I have [Credibility1], [Credibility2], [Credibility3].

Want to know a secret?

I use the same [X] templates every time:",Educational Breakdown
Personal Stories,Tell stories that allow readers to see themselves in you.,"When I [OldLifeCompleted], I [NewLifeBeginning].

It was [NegativeDetail].

[NegativeDetail]. [NegativeDetail].

[X] years later, I just [LifeAchievement].

Here’s what those difficult years taught me about [Topic]:

Lesson 1: [Lesson1]

Back then, I used to [PositiveHabit].

Despite [NegativeObstacle].

The only difference between then and now is [UnexpectedSmallDetail].

Lesson 2: [Lesson2]

For the first few years, all I had was a [HumbleBeginning] and a [HumbleBeginning].

Since then, I’ve [PositiveOutcome].

But can I tell you something?

Those two [HumbleBeginnings] still mean more to me than anything.

All you need.

Lesson 3: [Lesson3]

When I was first starting out, I was so determined to achieve [X] that I deprived myself of [ShortTermOutcome].

Everyone thought I was crazy.

But, [X] years later, I had successfully become [Outcome].

Meanwhile, a lot of people around me hadn’t moved at all.

Lesson 4: [Lesson4]

I used to be very insecure about [Weakness].

I was ashamed that I didn’t have [Outcome].

And I didn’t [PositiveAction] because of it.

It took me a long time to realize those insecurities were holding me back.

And no amount of success would fix them for me.

Lesson 5: [Lesson5]

After college, a lot of people around me said:

[WrongAdvice]

But then I’d watch them struggle to make progress in their own lives.

A big part of success is going in a different direction.

And remember: if it was easy, everyone would do it.",Advice & Life Lessons
Contrarian Views,Thread Opener: unconventional views that made you successful.,"I used to see the world the same as the 99%.

But since adopting these [X] contrarian views held by the top 1%, how I view [ReachTopic] has completely changed (and got me to [GiantOutcome]):

[Write your thread here]",Advice & Life Lessons
Don't Waste Time,Thread Opener: ways to be more productive.,"There are a zillion ways to waste time online.

(Everyone knows how to do that.)

But if you want to save time and accomplish 10x more, here are [X] [Tools] that will make your Internet time more productive:

[Write your thread here]",Educational Breakdown
Lies You've Been Told,Thread Opener: lies the audience has been told about a given topic.,"[X] lies you’ve been told about [ReachTopic]:

[Write your thread here]",Advice & Life Lessons
Must-Have Skills,Thread Opener: skills everyone should have.,"[X] must-have [PopularPlatform/Topic] skills everyone should know:

[Write your thread here]",Advice & Life Lessons
Timeless Wisdom,Thread Opener: share your key takeaways from an expert's advice.,"I am obsessed with learning about [ReachTopic].

So I went and devoured [X] years of [FamousPerson] advice.

The result?

I walked away with [X] timeless principles from the greatest [FamousPersonStatus] in the world.

Here are the golden takeaways:

[Write your thread here]",Social Proof / Spotlight
Beginner Playbook,Thread Opener: the beginner's guide to achieving success in a specific niche.,"The First-Time [Niche] Playbook.

(Read this if you want to [Outcome1], [Outcome2], and [Outcome3].)

[Write your thread here]",Book-Based
Niche 101,Thread Opener: tips on how to get desirable outcomes in your niche.,"[Niche] 101

I have been studying [Niche] for the past X years.

In that time, I have:

[Outcome1]

[Outcome2]

[Outcome3]

Want to do the same?

Do these [X][Tips]:

[Write your thread here]",Educational Breakdown
Step-By-Step Framework,"Thread Opener: how to solve a specific problem step-by-step, without giving up something desirable.","Have you ever wondered how some people solve [Problem] without giving up [Benefit]?

Well, here’s the easy [X]-step framework they use:

[Write your thread here]",Educational Breakdown
Unexpected Outcomes,Thread Opener: unexpected but valuable outcomes that you've experienced from your niche.,"I have been in [Niche] for [X] years.

Most people think “success” in [Niche] means [Definition].

And sure, that’s true.

But here are [X] unexpected outcomes I ended up experiencing that I value way more:

[Write your thread here]",Advice & Life Lessons
Zero to Niche Hero,Thread Opener: lessons you can share with your audience about how you got to where you are today.,"[X] years ago, I didn’t know anything about [Niche].

Today, I am [Achievement].

Here are [X] unforgettable lessons I’ve learned about [Topic]:

[Write your thread here]",Advice & Life Lessons
My Strange Journey,Share a strange journey you've recently experienced and how it helped you accomplish something.,"Last week, I crossed [Milestone].

It took [X] days. It was gruelling. But it was worth it.

Here are the [X] steps of my strange journey.

Hope it’s helpful to someone:

1/ [SimpleStep1]

When you are first getting started trying to [Outcome], this is the best thing you can do.

Don’t overthink it.

Don’t make it more complicated than it needs to be.

Just get started—and see where your strange journey takes you.

2/ [ProgressStep2]

As you get moving, what you end up learning is that:

[ConventionalWisdom1] is wrong.

[ConventionalWisdom2] doesn’t work.

[ConventionalWisdom3] is a waste of time.

In reality, [ProgressStep2] is the best thing you can do.

3/ [UnconventionalStep3]

As soon as I reached [Milestone], I hit a roadblock.

I was making progress, but I didn’t know:

How to [Question1]

How to [Question2]

Or how to [Question3]

[UnconventionalStep3] changed everything for me.

And here’s why…

4/ [UnconventionalStep4]

As soon as I started doing [UnconventionalStep3], I started to…

[SurprisingOutcome1]

[SurprisingOutcome2]

[SurprisingOutcome3]

Which led to me [UnconventionalStep4].

Which led to [SurprisingOutcome4].

5/ [UnconventionalStep5]

It took me a while, but eventually, I experienced a breakthrough.

I realized that the key to [Outcome] was [UnconventionalStep1], [UnconventionalStep2], and [UnconventionalStep3], compounded over a long period of time.

And [X] days later, here I am.

I share all of this because I believe you can experience the same sort of transformation in your own life.

And then you’ll have a “strange journey” you can share of your own.

(I’d love to read it.)",Personal Story
"X Asset, Y Outcome, in Z Time",Describe how you were able to achieve an outcome in a short amount of time.,"A [ValuableThing] is a massive asset.

I have attracted [Y] [Audience] in just [Z] [Time].

Here are the [X] simple things I did:

Step 1: [ActionStep1]

In [Month], I committed to [Outcome].

I started by [ActionStep1].

My 2 goals were simple:

1) [Goal1]

2) [Goal2]

[Screenshot Proof]

Step 2: [ActionStep2]

By [Month], I had achieved my goals.

But there was more to do if I wanted to unlock [Outcome].

So, I changed my strategy:

[NewStep1]

[NewStep2]

[NewStep3]

[Screenshot Proof]

Step 3: [ActionStep3]

At the same time, I decided to start [ActionStep3].

The system I created for myself was simple:

[RepeatableTask1]

[RepeatableTask2]

[RepeatableTask3]

[Screenshot Proof]

Step 4: [ActionStep4]

This is where the compounding really began.

Every morning, I would [ActionStep4], and after a few [Time], I started to notice:

[Benefit1]

[Benefit2]

[Benefit3]

[Benefit4]

I was cruising.

[Screenshot Proof]

Step 5: [ActionStep5]

Once I got to [Milestone], all I had to do was [ActionStep5] to keep my systems on autopilot.

And this is how I reached [Y] [Audience] in just [Z] [Time].

And how you can too.",Personal Story
Thought Leader Profiles,Curate the timeless stories and insights of other inspiring people.,"While no one was looking, [ThoughtLeader] created [Creation], [Description] [Status].

Today, [Creation] is one of the world’s most [Achievement].

Here’s [ThoughtLeader]’s story:

Quick backstory:

[ThoughtLeader] grew up in [Place].

[Obstacle]

[WeirdFact]

The odds:

To say [ThoughtLeader] was setup for success from the beginning would be an overstatement.

The odds of success for [Comparison] are [Odds].

And only [X%] make it to [FirstAccomplishment].

The goal:

But [ThoughtLeader] had [His/Her/Their] sights set on [Goal].

And for [Time], they were relentless about [Habit1], [Habit2], [Habit3].

The obstacle:

Unfortunately, success turned out to be a lot harder than they originally imagined.

[Obstacle1]

[Obstacle2]

[Obstacle3]

And by [Date], they almost chose to give up.

The breakthrough:

Until one day, [MomentOfChange].

As the story goes, [Story].

And the rest is history.

The achievement:

Between [Date] and [Date], [ThoughtLeader] went on to:

[Achievement1]

[Achievement2]

[Achievement3]

Maybe most importantly, they [Achievement4].

The lesson:

I love [ThoughtLeader]’s story because it represents [LifeLesson].

It reminds us of the power of [Habit1], [Habit2], and [Habit3], compounded over time.

Because when we focus on the right things, where we’re headed is certain.

We just need the future to catch up.",Curation
Timeless Frameworks,Build and share new ways of thinking about the world.,"The most [Status] [Person/Company] of the last [X] [Time]:

[Name].

Back in [Date], [Person/Company] shared their [X] rules for [Topic].

And these rules are a must-read for [Audience1], [Audience2], and [Audience3] who want to [Outcome].

Here’s the breakdown:

Rule #1: [Rule1]

What the audience cares about isn’t [Myth].

It’s [RealAnswer].

Don’t forget which one matters most.

Rule #2: [Rule2]

Most people who try to [Outcome] think [Myth].

In actuality, it’s the opposite.

[RepeatRule2]

Rule #3: [Rule3]

It takes people a long time to learn this one.

Success is not about [WrongAnswer].

Instead, it’s about practicing [Rule3] over and over again—until one day, you achieve [Outcome].

Rule #4: [Rule4]

This one is my favorite.

Whether you are a [Audience1], [Audience2], or [Audience3], this rule still applies.

And usually makes all the difference.

Rule #5: [Rule5]

This is true for most things in life.

Your goal should not be to [WrongOutcome].

Instead, you should be more concerned with [RightOutcome].

Then, and only then, will you follow in the footsteps of the most [Status] [Person/Company] ever.",Educational Breakdown
Tools Curation,"Share organized lists of valuable tools, platforms, books, podcasts, etc.","[X] hidden [Platform] features guaranteed to [Outcome]:

[Feature1]

[Description]

[Feature2]

[Description]

[Feature3]

[Description]

[Feature4]

[Description]

[Feature5]

[Description]",Curation
Viral Opinions,Present your insights and perspectives in a way that scales to millions of readers.,"A few controversial things I believe about [Topic]:

1) [StrongOpinion1]

I’m not saying [SubtleDistinction].

I’m just saying [ClarifyingStatement].

2) [StrongOpinion2]

Contrary to popular belief, [ClicheAction] is a myth.

[FailureExample1]

[FailureExample2]

[FailureExample3]

[ClicheAction] is a fast-track to [UndesirableOutcome].

3) [StrongOpinion3]

“Most people” do what “most people” do.

Which leads to…

[NegativeStat1]

[NegativeStat2]

[NegativeStat3]

Clearly what “most people do” doesn’t work.

So do something else.

4) [StrongOpinion4]

99% of the time, this is a giant mistake.

Instead, [Name] has a great framework for achieving [Outcome] without falling into [Trap].

[Step1]

[Step2]

[Step3]

5) [StrongOpinion5]

Pursuing [Outcome] is a silly goal.

Because [UnconventionalReason].

[DifferentOutcome] is a better pursuit in life.

[Benefit1]

[Benefit2]

[Benefit3]",Social Proof / Spotlight
Wild Unknown Stories,Take readers on a journey that will surprise and delight them.,"[Person/Company] has officially reached [GiantOutcome].

Here’s what you probably don’t know:

When [Person/Company] first started back in [Date], they had [NoOutcome]. But just a few [Time] later, they [FirstBigOutcome].

How did this happen? [Twist]

Here’s the story:

[Person/Company]’s story begins in [Date], [SpecificDetail].

[UnexpectedAnecdote].

While there, [Person] wasn’t even trying to [Outcome].

For a while, [Name] tried to find success doing random things:

[Experience1]

[Experience2]

[Experience3]

Until one day, everything changed.

[MomentOfChange].

It was [Date] and [Name] became the first [Status].

They saw this as an opportunity—and took it.

Their gameplan:

[Tactic1]

[Tactic2]

[Tactic]

As you can probably guess: it worked.

By [Date], [Person] had risen to a wild level of success—way beyond they probably ever thought possible for themselves.

[Outcome1]

[Outcome2]

[Outcome3]

And the rest is history.

I love this story because it is the perfect encapsulation of what it takes to achieve [Outcome], but also shows how in order to be “lucky,” you need to put yourself in a position to receive luck.

Great reminder for anyone with big dreams.",Social Proof / Spotlight
The “ChatGPT Prompt Giveaway” Hook,Give users a free solution to a painful problem in a short time.,How to use [Tool/Technique] to generate [Huge Outcome] in [Short Timeframe]—even if you think [Common Obstacle or Challenge] (THREAD):,Educational Breakdown
The “Curated Books” Hook,Give your readers a list of the top books in a category.,"Over the past [Time Period], I have read over [Number] [Type of Books].

99% were [A Waste Of Time].

They should have been [Solution] instead.

Save yourself the time and just [Read/Watch/Listen] these [Number].",Curation
The “Best-Selling Book Framework” Hook,Breakdown a best-selling book.,"[Book] is the [Number] best-selling book of the [Time Period].

Only behind [Another Well-Known Book]

And [Author] used [Framework] for [Surprising Use]

Here’s the breakdown:

[Include Image of Handwritten Breakdown]",Educational Breakdown
The Last Month Recap,A thread opener to recap your best posts from the last month.,"Last month, I wrote every [Metric, e.g. every single day], racking up [X] hours of writing time.

And these [X] posts got the most views and engagement (collected here so I can look back and reflect on the journey so far):",Advice & Life Lessons
Return To A Moment In Time,Look back on your most popular posts.,"I’ve been writing online since [Year].

Since then, I’ve posted [Number] times.

But X buries every piece of content shortly after publishing.

So, I collected [Number] of my most popular posts from the [Month] [Year] archive (so I can see my progress and spark new ideas):",Advice & Life Lessons
The Rewind Thread,Look back on your Digital Writing journey by curating your best posts,"Since [Year], I've posted [X] times and grown my following to [Number].

Here are my [Number] top-performing posts of all time collected in one place (so I can savor the journey and look forward to the future):",Advice & Life Lessons
The Creator Friends Curation,Curate the best posts from your friends.,"There is a limitless amount of free education on X.

But the algorithm eventually buries all the best posts.

Here are [X] of my favorite posts from [Month] [Year], written by my friends (so I can find them easily later):",Curation
The Creator Time Machine,Map the journey of a Creator in a single thread.,"[Creator Name] ([Creator Handle]) has [X] followers.

But in [Month] [Year], he started at 0.

These are their top-performing posts written in the last [X] years (these have racked up [Number] views):",Advice & Life Lessons
The Reflection Thread,"Look back on your journey so far (the good, the bad, and the ugly).","This year, I [Achievement / Outcome].

But in [Year] I was:

• [Negative Position 1]

• [Negative Position 2]

• [Negative Position 3]

These [Number] posts were major turning points in my journey (collected here to inspire you to take action):",Advice & Life Lessons
"To Start Today, Do This",Share your journey with a skill or framework and explain what you wish you knew before you got started.,"[X Months/Years] ago, I thought [skill] was a [common misconception].

Now I’m convinced [skill] is the most important skill you can develop.

But when I started, I was completely [problem most people face].

So here's my [framework] I wish I had (that you can start using today):",Personal Story
Skip To The End,Explain to your audience how to save time mastering a key skill or framework.,"The most valuable skill in [industry or niche]:

[Answer]

I spent [a lot of work to find the answer]

Here is my [X-step process / framework] that [will save you a bunch of time]:",Insight & Prediction
How To Overcome A Common Problem,"Explain how to overcome the biggest problems in your industry without wasting time, money, or effort.","[Insert common question for an industry]

Because [external enemy to blame the problem]

Luckily [overcoming problem] is simple, if you know where to start.

And unlike [external enemy], this won’t cost you [big cost]

Instead, use this dead-simple [X-step framework]:",Advice & Life Lessons
How To Do X Without Y (Even If You Think Z),Share how anyone can beat their self-doubt and master a skill or framework without hours of wasted effort.,How to do [thing] [without a bunch of work] - even if [most common objection to being able to do x thing],Educational Breakdown
Simple (But Unique) Mechanism,Share your unique way of beating a problem or learning a skill without doing what most people do.,"[Strong credibility statement]

But I [don’t do the thing that most people try to do]

Instead, I use [unique mechanism that doesn’t take much time]

It’s called the [Name of the Mechanism] — here’s how it works:",Advice & Life Lessons
Mistakes To Avoid,Share the mistakes to avoid when trying to achieve an outcome.,"This is me at [Age].

[Negative Adjective 1], [Negative Adjective 2], [Negative Adjective 3]

Now, I'm [Age].

[Positive Outcome 1], [Positive Outcome 2], [Positive Outcome 3]

Here's a breakdown of all the mistakes I learned along the way:",Personal Story
Timeless Advice & Frameworks,Distill advice and takeaways from all the episodes of your favorite podcast.,"I listened to every episode of the [Podcast Name].

And what's buried inside these [interviews/break downs]?

Timeless [Topic] advice for becoming [Outcome].

Here are [X] frameworks distilled from [Y] episodes:",Educational Breakdown
Favorite Episode Takeaways,Share 3 powerful takeaways from your favorite podcast episode.,"The best podcast I ever listened to on [Topic]:

[Podcast Episode] by [Podcast Name]

• [Takeaway 1]

• [Takeaway 2]

• [Takeaway 3]

Transformed the way I see [Outcome].",Advice & Life Lessons
Right Way vs Wrong Way,Lay out what's keeping people stuck and how to solve it.,"[Negative Adjective] [Person In Your Niche]:

• [Mistake 1]

• [Mistake 2]

• [Mistake 3]

[Positive Adjective] [Person In Your Niche]:

• [Step 1]

• [Step 2]

• [Step 3]

Choose wisely.",Advice & Life Lessons
Myth Busting Approach,Explain the myths holding people back and how you beat them.,"[Group of people] approach [goal] the wrong way.

[Myth 1] & [Myth 2]

[Sentence explaining correct beliefs]

Here's how you can use [Name Approach] to do just that:",Advice & Life Lessons
The Easy Wins,Share the wins you get when you take a certain path in your industry (and how you've helped others).,"[Your Niche / Profession] is the best way to [Outcome] as a [Target Audience]:

• [Benefit 1]

• [Benefit 2]

• [Benefit 3]

That's why I love reading testimonials from our [Customers/Community/Students], like [Name] here:

<Testimonial Screenshot>",Social Proof / Spotlight
